298831,Vistara,UK-828,Chennai,Early_Morning,one,Night,Hyderabad,Business,13.92,22,41064
298832,Vistara,UK-824,Chennai,Night,one,Afternoon,Hyderabad,Business,15.75,22,41064
298833,Vistara,UK-826,Chennai,Afternoon,one,Early_Morning,Hyderabad,Business,19.33,22,41064
298834,Vistara,UK-822,Chennai,Morning,one,Early_Morning,Hyderabad,Business,22.08,22,41064
298835,Vistara,UK-826,Chennai,Afternoon,one,Afternoon,Hyderabad,Business,23.75,22,41064
298836,Vistara,UK-824,Chennai,Night,one,Night,Hyderabad,Business,24.42,22,41064
298837,Vistara,UK-828,Chennai,Early_Morning,one,Early_Morning,Hyderabad,Business,24.83,22,41064
298838,Vistara,UK-822,Chennai,Morning,one,Afternoon,Hyderabad,Business,26.5,22,41064
298839,Vistara,UK-836,Chennai,Morning,one,Evening,Hyderabad,Business,6.25,22,51457
298840,Vistara,UK-836,Chennai,Morning,one,Evening,Hyderabad,Business,9.17,22,51457
298841,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Hyderabad,Business,10.08,22,51457
298842,Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Business,12.17,22,51457
298843,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Hyderabad,Business,13,22,51457
298844,Vistara,UK-832,Chennai,Early_Morning,one,Night,Hyderabad,Business,16,22,51457
298845,Vistara,UK-834,Chennai,Evening,one,Morning,Hyderabad,Business,16.5,22,51457
298846,Vistara,UK-834,Chennai,Evening,one,Afternoon,Hyderabad,Business,19.42,22,51457
298847,Vistara,UK-836,Chennai,Morning,one,Morning,Hyderabad,Business,22.92,22,51457
298848,Vistara,UK-834,Chennai,Evening,one,Evening,Hyderabad,Business,23.83,22,51457
298849,Vistara,UK-836,Chennai,Morning,one,Afternoon,Hyderabad,Business,25.83,22,51457
298850,Vistara,UK-832,Chennai,Early_Morning,one,Morning,Hyderabad,Business,26.75,22,51457
298851,Vistara,UK-834,Chennai,Evening,one,Evening,Hyderabad,Business,26.75,22,51457
298852,Air_India,AI-539,Chennai,Evening,one,Night,Hyderabad,Business,6.58,22,51345
298853,Air_India,AI-430,Chennai,Morning,one,Evening,Hyderabad,Business,9.42,22,51345
298854,Air_India,AI-440,Chennai,Early_Morning,one,Evening,Hyderabad,Business,13.17,22,51345
298855,Air_India,AI-430,Chennai,Morning,one,Night,Hyderabad,Business,13.67,22,51345
298856,Air_India,AI-538,Chennai,Night,one,Morning,Hyderabad,Business,14.17,22,51345
298857,Air_India,AI-538,Chennai,Night,one,Morning,Hyderabad,Business,15.58,22,51345
298858,Air_India,AI-440,Chennai,Early_Morning,one,Night,Hyderabad,Business,17.42,22,51345
